card_txn_id,card_id,txn_date,merchant_category,amount,is_fraud,customer_id,name,city,state,occupation,annual_income_x,credit_score,txn_year,txn_month,txn_day,txn_day_of_week,txn_hour,amount_income_ratio,amount_log,avg_amount,std_amount,total_spent,txn_count,annual_income_y,total_fraud,fraud_rate,merchant_category_encoded,city_encoded,state_encoded,occupation_encoded,fraud_probability,predicted_fraud,risk_level,is_life_event
630467,30337,2022-12-07,Education,1039.12,0,37270,Elizabeth Pillai,Indore,Madhya Pradesh,Student,2754989,470,2022,12,7,2,0,0.0003771774126221873,6.94709137009451,2058.9177142857143,1923.7391392700122,72062.12,35,2754989,0,0.0,2,7,4,6,0.000102063466,0,Low,False
2996947,47249,2018-03-13,Dining,2133.89,0,10155,Rahul Verma,Nagpur,Maharashtra,Business Owner,2698718,718,2018,3,13,1,0,0.0007907047751173797,7.666170402087165,2110.997777777778,1537.9877631658187,113993.88,54,2698718,0,0.0,1,13,5,0,0.00023930368,0,Low,False
2403672,4663,2021-01-20,Education,2683.88,0,42438,Patricia Reddy,Bhopal,Madhya Pradesh,Salaried - Government,3388673,451,2021,1,20,2,0,0.0007920148116933054,7.895391313206785,1845.440243902439,2072.3877526545166,75663.05,41,3388673,0,0.0,2,2,4,3,0.000294409,0,Low,False
2885837,40231,2026-05-18,Utilities,1143.62,0,46647,Priya Sharma,Kochi,Kerala,Student,1106579,646,2026,5,18,0,0,0.0010334725008585008,7.042827983175481,1998.1162376237623,1968.849159855499,201809.74,101,1106579,1,0.00980392156862745,13,9,3,6,0.0029621117,0,Low,False
2454103,44711,2021-04-25,Fuel,615.89,0,55776,Neha Reddy,Mumbai,Maharashtra,Student,184271,548,2021,4,25,6,0,0.003342287488061127,6.424690726001537,1870.4568674698796,2003.5933405156384,310495.84,166,184271,0,0.0,4,12,5,6,0.00022462338,0,Low,False
2945469,43792,2023-06-27,Healthcare,1162.55,0,27059,Elizabeth Nair,Hyderabad,Telangana,Self Employed,177462,884,2023,6,27,1,0,0.00655094301347323,7.05923095560499,1793.5544554455446,1664.1991507271448,181149.0,101,177462,0,0.0,7,6,9,5,0.00012701166,0,Low,False
2940339,57281,2026-03-28,Dining,3773.29,0,22037,Rohan Desai,Bengaluru,Karnataka,Salaried - Government,2161513,539,2026,3,28,5,0,0.0017456699332042262,8.235967564523765,1517.2860396039603,1242.6501708188664,153245.88999999998,101,2161513,0,0.0,1,1,2,3,0.00012306556,0,Low,False
463075,14641,2023-06-21,Groceries,2670.35,0,39792,John Martinez,Chennai,Tamil Nadu,Retired,394176,537,2023,6,21,2,0,0.006774494706692678,7.890339241590125,1745.6065161290323,1354.116062221295,270569.01,155,394176,2,0.01282051282051282,6,4,8,2,0.56639135,1,High,False
2157411,4552,2024-04-22,Education,6563.37,0,11850,Jessica Singh,Bhopal,Madhya Pradesh,Business Owner,679474,644,2024,4,22,0,0,0.009659472386769197,8.789411818689613,1651.1613414634148,2419.2238095606394,135395.23,82,679474,0,0.0,2,2,4,0,0.0002836039,0,Low,True
691857,6164,2024-03-06,Entertainment,1064.04,0,7131,Sanjay Smith,Ahmedabad,Gujarat,Student,1012142,331,2024,3,6,2,0,0.0010512743752612032,6.970767636123662,1706.9801041666667,1230.7044130642332,163870.09,96,1012142,1,0.010309278350515464,3,0,1,6,0.07918254,0,Low,False
458102,44544,2020-10-09,Groceries,7062.14,0,23491,Arjun Desai,Chandigarh,Punjab,Student,1163747,881,2020,10,9,4,0,0.006068444371118146,8.862644990818026,1987.3292805755398,1897.6345395589256,276238.77,139,1163747,1,0.007142857142857143,6,3,6,6,0.0033233454,0,Low,False
17866,6504,2023-06-10,Fuel,890.51,0,54028,Barbara Patel,Pune,Maharashtra,Retired,796982,781,2023,6,10,5,0,0.001117351311132107,6.792916654290201,1662.10306122449,1393.6171272495724,81443.05,49,796982,0,0.0,4,14,5,2,0.00021625457,0,Low,False
1677714,38853,2023-06-05,Salary Credit,373.2,0,58441,Charles Verma,Bhopal,Madhya Pradesh,Self Employed,3088735,305,2023,6,5,0,0,0.00012082612434342073,5.92479041383999,2007.4789215686276,1758.2328096755607,204762.85,102,3088735,0,0.0,10,2,4,5,0.00011704026,0,Low,False
1633909,63014,2024-08-25,Shopping,2707.15,0,21346,Robert Desai,Kolkata,West Bengal,Retired,2821026,583,2024,8,25,6,0,0.0009596327862158001,7.904021023930909,1832.3965384615383,1676.5230773252042,333496.17,182,2821026,1,0.00546448087431694,11,10,11,2,0.0102222795,0,Low,False
1548983,53302,2018-07-11,Entertainment,1728.47,0,55292,Kavya Martinez,Delhi,Delhi,Business Owner,337962,676,2018,7,11,2,0,0.005114376425821762,7.4555702821730065,1942.2500675675676,1698.699722533494,287453.01,148,337962,3,0.020134228187919462,3,5,0,0,0.6327785,1,High,False
695753,26007,2020-05-27,Fund Transfer,1426.26,0,4025,Meera Williams,Chandigarh,Punjab,Salaried - Private,2339248,642,2020,5,27,2,0,0.0006097085004631829,7.263511801300818,1811.0846017699114,1732.896301727583,204652.56,113,2339248,0,0.0,5,3,6,4,0.00052792457,0,Low,False
1183763,33767,2019-06-22,Education,322.92,0,8176,Jennifer Singh,Hyderabad,Telangana,Business Owner,1530414,445,2019,6,22,5,0,0.00021100159107170278,5.780496571723906,2051.975617977528,2093.4407474029226,365251.66,178,1530414,1,0.00558659217877095,2,6,9,0,0.010548728,0,Low,False
2334643,24649,2022-10-18,Entertainment,3876.25,0,790,Rahul Brown,Kolkata,West Bengal,Retired,553311,850,2022,10,18,1,0,0.00700554117749118,8.262881418439562,1897.0328571428572,2277.993710554679,159350.76,84,553311,1,0.011764705882352941,3,10,11,2,0.010367458,0,Low,False
648729,18615,2024-06-30,Fund Transfer,171.99,0,19037,Meera Pillai,Chennai,Tamil Nadu,Salaried - Private,2291789,877,2024,6,30,6,0,7.504614297121465e-05,5.153233789358886,1809.8732369942197,1853.6264971877881,313108.07,173,2291789,0,0.0,5,4,8,4,8.7467204e-05,0,Low,False
1645268,18126,2021-09-05,Entertainment,2415.24,0,56282,Suresh Davis,Mumbai,Maharashtra,Freelancer,2033463,574,2021,9,5,6,0,0.0011877466234956704,7.789967891869383,2298.193260869565,2303.970164472192,105716.89,46,2033463,0,0.0,3,12,5,1,9.858743e-05,0,Low,False
2369903,5960,2024-03-13,Shopping,687.71,0,21707,Robert Kapoor,Lucknow,Uttar Pradesh,Retired,1236757,634,2024,3,13,2,0,0.0005560586630529174,6.534820282555589,1850.2775555555556,1900.2274387534812,83262.49,45,1236757,0,0.0,11,11,10,2,0.00017751884,0,Low,False
650735,20738,2022-10-21,Travel,2524.36,0,13397,Sneha Davis,Hyderabad,Telangana,Retired,1217291,335,2022,10,21,4,0,0.002073750587369341,7.834138905804142,1896.2409523809522,1764.832843210451,238926.36,126,1217291,1,0.007874015748031496,12,6,9,2,0.077999495,0,Low,False
2424547,33124,2020-10-24,Groceries,2526.37,0,49599,Mary Patel,Ahmedabad,Gujarat,Self Employed,198566,844,2020,10,24,5,0,0.012723010369296005,7.8349345153483005,1689.646851851852,1823.6565660858912,364963.72000000003,216,198566,0,0.0,6,0,1,5,0.00020330094,0,Low,False
2541360,54117,2018-11-29,Rent,1683.76,0,10299,Amit Jones,Chandigarh,Punjab,Freelancer,1512840,705,2018,11,29,3,0,0.001112978825930815,7.429378399407464,2093.6549,2195.1547426062834,209365.49,100,1512840,1,0.009900990099009901,9,3,6,1,0.12499492,0,Medium,False
696651,17937,2024-12-31,Travel,1264.48,0,810,Suresh Martinez,Lucknow,Uttar Pradesh,Salaried - Government,2890166,496,2024,12,31,1,0,0.0004375110503995098,7.143206775830266,1920.4420792079206,1967.2783380296332,193964.65,101,2890166,0,0.0,12,11,10,3,7.895096e-05,0,Low,False
652069,10001,2019-04-30,Education,1597.89,0,22401,Anita Pillai,Chandigarh,Punjab,Freelancer,1581239,868,2019,4,30,1,0,0.0010105297108598315,7.377064917471985,1979.788585858586,2591.1916978317645,195999.07,99,1581239,0,0.0,2,3,6,1,0.00019786983,0,Low,False
42684,52052,2023-04-29,ATM Withdrawal,2921.4,0,45112,Sarah Menon,Kochi,Kerala,Self Employed,1307400,616,2023,4,29,5,0,0.0022345095345651413,7.980160475481073,1960.1645054945054,1993.8641003317393,178374.97,91,1307400,0,0.0,0,9,3,5,0.00022701002,0,Low,False
38099,31753,2018-01-31,Travel,549.44,0,18803,Kavya Reddy,Kochi,Kerala,Business Owner,2313832,661,2018,1,31,2,0,0.00023745879672387767,6.310717958397081,2182.138684210526,2463.500896933085,82921.27,38,2313832,0,0.0,12,9,3,0,0.00020973945,0,Low,False
1047724,40549,2018-02-18,Entertainment,1798.73,0,54269,Meera Iyer,Chandigarh,Punjab,Salaried - Private,855993,892,2018,2,18,6,0,0.0021013348224403444,7.495391932633131,1700.994503816794,1702.6357680586405,222830.28,131,855993,0,0.0,3,3,6,4,7.484544e-05,0,Low,False
2807281,19653,2021-08-20,Dining,530.77,0,50189,Mary Chatterjee,Kolkata,West Bengal,Salaried - Government,758624,801,2021,8,20,4,0,0.0006996473883671115,6.27621106503266,1598.5193693693693,1674.530385411373,177435.65,111,758624,0,0.0,1,10,11,3,0.00015123982,0,Low,False
1695395,2950,2018-04-23,Utilities,2438.71,0,51487,Ajay Garcia,Jaipur,Rajasthan,Freelancer,2900591,428,2018,4,23,0,0,0.0008407628511696922,7.799634458764718,1803.0320833333335,1548.6859647570952,173091.08000000002,96,2900591,2,0.020618556701030927,13,8,7,1,0.05769296,0,Low,False
2824265,14227,2022-05-16,Shopping,1163.5,0,48251,Joseph Joshi,Nagpur,Maharashtra,Freelancer,3048600,436,2022,5,16,0,0,0.0003816504685263831,7.060047089324396,2285.3905555555557,2143.1419827788186,205685.15,90,3048600,0,0.0,11,13,5,1,0.00027211543,0,Low,False
201289,23409,2024-10-06,Travel,486.53,1,58106,Michael Chopra,Indore,Madhya Pradesh,Salaried - Government,458691,718,2024,10,6,6,0,0.0010606899618916395,6.189351827006027,1833.383125,1712.2739049188133,176004.78,96,458691,1,0.010309278350515464,12,7,4,3,0.03694752,0,Low,False
515671,26064,2018-09-21,Entertainment,1209.66,1,17797,Kiran Verma,Bhopal,Madhya Pradesh,Business Owner,2386788,657,2018,9,21,4,0,0.0005068148043249739,7.098920944429984,1667.3210659898477,1562.6110573682668,328462.25,197,2386788,2,0.010101010101010102,3,2,4,0,0.601957,1,High,False
2755507,42690,2025-01-05,Fund Transfer,977.57,0,43283,Patricia Malhotra,Bengaluru,Karnataka,Retired,364601,593,2025,1,5,6,0,0.00268119757982677,6.886092322345878,1838.172703862661,2050.842506216061,428294.24,233,364601,2,0.008547008547008548,5,1,2,2,0.017793085,0,Low,False
1331502,7583,2020-07-12,Insurance,3176.67,0,30231,Ritu Nair,Pune,Maharashtra,Student,348336,571,2020,7,12,6,0,0.009119530799197329,8.063903502812645,1733.8470833333333,1467.140393381784,166449.32,96,348336,2,0.020618556701030927,8,14,5,6,0.0025261717,0,Low,False
305100,40955,2026-04-03,Insurance,1731.26,0,7267,Rohan Mehta,Kolkata,West Bengal,Self Employed,3441818,515,2026,4,3,4,0,0.000503007276094414,7.457182193329621,1875.0141414141412,1640.920123334249,185626.4,99,3441818,0,0.0,8,10,11,5,0.0001224669,0,Low,False
2838201,52540,2024-02-09,Fuel,290.96,0,59471,Manoj Malhotra,Indore,Madhya Pradesh,Self Employed,3462864,655,2024,2,9,4,0,8.402291166418558e-05,5.676616806583431,1889.6826315789474,1616.211149220211,394943.67,209,3462864,1,0.004761904761904762,4,7,4,5,0.06151804,0,Low,False
2293625,17469,2019-01-26,Insurance,72.08,0,53016,Sarah Joshi,Bhopal,Madhya Pradesh,Retired,2166263,421,2019,1,26,5,0,3.3273876129594544e-05,4.291554731509806,2181.9965384615384,2233.768678656016,113463.81999999999,52,2166263,0,0.0,8,2,4,2,0.00011649545,0,Low,False
835751,943,2025-10-03,Entertainment,917.53,0,44038,Jennifer Kumar,Ahmedabad,Gujarat,Business Owner,1396659,692,2025,10,3,4,0,0.000656945856543468,6.8227745660706205,1736.0660465116277,2367.6354829712436,74650.84,43,1396659,0,0.0,3,0,1,0,9.170818e-05,0,Low,False
1870649,16236,2023-05-15,Travel,213.46,0,18822,Richard Desai,Pune,Maharashtra,Retired,746641,676,2023,5,15,0,0,0.0002858933732632239,5.368123240791999,1860.3552577319588,2347.208211591527,180454.46,97,746641,1,0.01020408163265306,12,14,5,2,0.034859847,0,Low,False
231719,56466,2023-03-01,Education,7488.44,0,47612,Susan Gupta,Lucknow,Uttar Pradesh,Business Owner,3399089,753,2023,3,1,2,0,0.002203071998682,8.921249307360982,1759.3313953488373,1811.0698079464385,75651.25,43,3399089,0,0.0,2,11,10,0,7.055343e-05,0,Low,True
2396016,63206,2022-02-20,Healthcare,4411.93,0,49346,Arjun Patel,Nagpur,Maharashtra,Retired,388772,849,2022,2,20,6,0,0.011348344663852686,8.392294146918497,1856.2556410256411,1902.7963423809065,144787.94,78,388772,1,0.012658227848101266,7,13,5,2,0.014776971,0,Low,False
1695011,38909,2024-07-26,Rent,2653.64,0,18033,Neha Menon,Indore,Madhya Pradesh,Self Employed,2397845,829,2024,7,26,4,0,0.0011066765755598984,7.884064331262109,1908.3272432432432,1902.3870931469887,353040.54,185,2397845,0,0.0,9,7,4,5,0.00020056576,0,Low,False
1229455,34545,2022-04-07,Fund Transfer,3467.3,0,43450,John Nair,Ahmedabad,Gujarat,Business Owner,1109792,559,2022,4,7,3,0,0.003124276329009104,8.151419839349385,1719.0556,1715.8636117474546,85952.78,50,1109792,1,0.0196078431372549,5,0,1,0,0.52769077,1,High,False
58519,62472,2021-11-21,Shopping,4840.97,0,45173,Pooja Bose,Delhi,Delhi,Salaried - Government,1129095,725,2021,11,21,6,0,0.004287474227169346,8.485076941691945,1669.9260784313724,1465.1611683314738,170332.46,102,1129095,0,0.0,11,5,0,3,0.00012340976,0,Low,True
2977390,58435,2021-12-13,Healthcare,1837.97,0,26430,Neha Chatterjee,Jaipur,Rajasthan,Retired,717673,561,2021,12,13,0,0,0.0025610095948857,7.516960911257556,1863.3777450980392,1743.6877128597407,190064.53,102,717673,0,0.0,7,8,7,2,0.0003472061,0,Low,False
2990442,21303,2023-07-19,Healthcare,1418.68,1,37437,Jennifer Desai,Jaipur,Rajasthan,Salaried - Private,1148324,769,2023,7,19,2,0,0.001235434219406527,7.2581867730870275,1550.5062921348315,1378.9206005047292,137995.06,89,1148324,2,0.022222222222222223,7,8,7,4,0.89266163,1,High,False
687334,35061,2025-06-03,Travel,8971.07,0,35528,Rohan Kapoor,Lucknow,Uttar Pradesh,Retired,450069,430,2025,6,3,1,0,0.019932610482813785,9.101871697660489,1780.6490972222223,1682.1312419266258,256413.47,144,450069,0,0.0,12,11,10,2,8.672008e-05,0,Low,True
2621496,23956,2020-06-06,ATM Withdrawal,1343.01,0,45698,Meera Davis,Pune,Maharashtra,Retired,3217450,877,2020,6,6,5,0,0.0004174142822998703,7.203412961531605,1884.2985858585857,1620.3224730659228,186545.56,99,3217450,0,0.0,0,14,5,2,0.00013385493,0,Low,False
42990,7506,2022-01-30,Insurance,1698.37,0,59936,Elizabeth Smith,Bengaluru,Karnataka,Salaried - Government,679297,576,2022,1,30,6,0,0.0025001840134962856,7.438012873124223,1992.790476190476,1902.992391219364,83697.2,42,679297,0,0.0,8,1,2,3,0.00017558545,0,Low,False
2791928,64389,2025-11-23,ATM Withdrawal,776.46,0,58249,James Brown,Mumbai,Maharashtra,Salaried - Government,1235010,880,2025,11,23,6,0,0.0006287069507882926,6.656032195784612,1630.5564102564101,1323.6364979091886,63591.7,39,1235010,0,0.0,0,12,5,3,0.00011084917,0,Low,False
1477610,17365,2023-05-22,Groceries,1552.82,0,28206,John Jones,Nagpur,Maharashtra,Business Owner,1627368,530,2023,5,22,0,0,0.000954190475546726,7.348471694102937,1910.7717424242423,1942.238320823178,252221.87,132,1627368,2,0.015037593984962405,6,13,5,0,0.4133188,1,High,False
2255190,54541,2018-07-27,Entertainment,2638.84,0,12412,Barbara Malhotra,Bengaluru,Karnataka,Salaried - Private,3216064,341,2018,7,27,4,0,0.0008205182420131435,7.878473588243135,1675.2082608695653,1518.69899335554,77059.58,46,3216064,1,0.02127659574468085,3,1,2,4,0.30114388,0,High,False
696831,48008,2020-02-21,Entertainment,9826.71,1,26207,David Pillai,Bengaluru,Karnataka,Freelancer,601098,412,2020,2,21,4,0,0.01634790608535366,9.192961225676207,1916.5788372093023,1693.0510965719072,164825.78,86,601098,1,0.011494252873563218,3,1,2,1,0.12219807,0,Medium,False
2517812,48858,2022-09-27,Fund Transfer,155.83,0,3239,Pooja Menon,Bengaluru,Karnataka,Self Employed,269160,699,2022,9,27,1,0,0.0005789471728816582,5.0551624161463335,1757.1487272727272,1744.913183631585,96643.18,55,269160,0,0.0,5,1,2,5,0.00027340895,0,Low,False
1395084,28506,2018-11-06,Utilities,739.28,0,19430,Linda Desai,Indore,Madhya Pradesh,Business Owner,1091417,546,2018,11,6,1,0,0.000677357346131363,6.6070284930095475,1632.5755660377358,1501.9451804434461,173053.01,106,1091417,0,0.0,13,7,4,0,0.00017082634,0,Low,False
2646109,14105,2022-06-06,Fuel,668.19,0,35117,Sanjay Johnson,Bhopal,Madhya Pradesh,Salaried - Private,1728587,488,2022,6,6,0,0,0.00038655249255461685,6.506068025785238,2020.3791358024691,2274.961975151561,163650.71,81,1728587,1,0.012195121951219513,4,2,4,4,0.42909384,1,High,False
639878,7687,2019-06-04,Shopping,780.96,0,56972,Amit Joshi,Chennai,Tamil Nadu,Retired,2494234,550,2019,6,4,1,0,0.000313106022487857,6.661803588341919,1859.1783673469388,1895.855502415346,182199.48,98,2494234,1,0.010101010101010102,11,4,8,2,0.16666351,0,Medium,False
2938130,35461,2018-01-13,Insurance,1966.92,0,50643,Kiran Joshi,Chennai,Tamil Nadu,Salaried - Private,2759131,455,2018,1,13,5,0,0.0007128763683651235,7.5847324263794444,1791.3705405405403,1668.8239200505946,66280.70999999999,37,2759131,0,0.0,8,4,8,4,0.00022593727,0,Low,False
2235269,36178,2025-05-06,ATM Withdrawal,4482.88,0,7368,Anjali Reddy,Mumbai,Maharashtra,Business Owner,2018952,698,2025,5,6,1,0,0.002220398394613446,8.408244022014143,2382.753571428572,2895.6627236047852,133434.2,56,2018952,0,0.0,0,12,5,0,0.00025734727,0,Low,False
2383599,40006,2019-04-26,Dining,1442.08,1,33674,Suresh Desai,Mumbai,Maharashtra,Business Owner,2051922,861,2019,4,26,4,0,0.0007027944031038201,7.274534997292568,2009.4665909090909,2220.314867795382,88416.53,44,2051922,1,0.022222222222222223,1,12,5,0,0.06845273,0,Low,False
2189704,54653,2024-02-25,Entertainment,641.66,0,586,Susan Nair,Chandigarh,Punjab,Freelancer,2703369,479,2024,2,25,6,0,0.0002373555969031246,6.465615813004593,1755.1657837837838,1682.2808383517272,324705.67,185,2703369,0,0.0,3,3,6,1,7.624623e-05,0,Low,False
85556,17566,2020-05-23,Salary Credit,6570.62,0,59234,Michael Reddy,Bhopal,Madhya Pradesh,Salaried - Private,1101741,848,2020,5,23,5,0,0.005963846345151587,8.790515656426418,1736.5854545454545,1634.112200000537,152819.52,88,1101741,0,0.0,10,2,4,4,0.000110833105,0,Low,False
432336,56915,2022-06-25,Salary Credit,1782.83,0,54770,Ritu Verma,Kolkata,West Bengal,Salaried - Government,1751012,510,2022,6,25,5,0,0.0010181706246612675,7.486518017119613,1747.439012345679,1556.4624914349888,141542.56,81,1751012,0,0.0,10,10,11,3,0.00022340658,0,Low,False
854927,12895,2021-09-17,Insurance,1147.84,0,15381,Patricia Chatterjee,Pune,Maharashtra,Student,761163,515,2021,9,17,4,0,0.001508006158988076,7.046508016629298,1859.1490909090908,1899.905675542156,81802.56,44,761163,0,0.0,8,14,5,6,0.00014246065,0,Low,False
530837,44046,2022-05-13,Travel,1016.03,0,53255,Neha Williams,Ahmedabad,Gujarat,Student,2171379,540,2022,5,13,4,0,0.00046791901924121985,6.924641894138561,1823.9414606741575,1635.8730939196791,162330.79,89,2171379,0,0.0,12,0,1,6,0.00016037982,0,Low,False
850308,4259,2025-07-09,Rent,251.03,0,42560,Michael Singh,Kolkata,West Bengal,Freelancer,1185370,879,2025,7,9,2,0,0.00021177336040783856,5.5295481280448655,1798.4204895104895,1759.4083932820051,257174.13,143,1185370,2,0.013888888888888888,9,10,11,1,0.11138482,0,Medium,False
2619959,301,2020-05-21,Dining,847.4,0,24231,Rahul Garcia,Bengaluru,Karnataka,Business Owner,2383825,462,2020,5,21,3,0,0.0003554789653271673,6.743352222690527,1494.6245132743363,1369.1386669512535,168892.57,113,2383825,1,0.008771929824561403,1,1,2,0,0.080504164,0,Low,False
2022880,19159,2020-08-10,Dining,2860.84,0,32409,Ritu Johnson,Ahmedabad,Gujarat,Self Employed,431484,703,2020,8,10,0,0,0.006630218895210726,7.95922005359209,1936.27752,1797.3424115983275,242034.69,125,431484,0,0.0,1,0,1,5,0.0003435459,0,Low,False
2555024,52898,2021-09-08,Groceries,2993.81,0,13302,Thomas Chatterjee,Bhopal,Madhya Pradesh,Salaried - Private,326637,354,2021,9,8,2,0,0.009165528811712047,8.004636069472099,1454.4425581395349,1325.934738146736,62541.03,43,326637,0,0.0,6,2,4,4,0.0002327738,0,Low,False
1840466,26510,2019-02-25,Utilities,4878.05,0,13350,Rahul Menon,Bhopal,Madhya Pradesh,Self Employed,2278449,483,2019,2,25,0,0,0.0021409510851675482,8.492705807764967,1690.9208695652173,1504.024848350919,77782.36,46,2278449,0,0.0,13,2,4,5,0.00017053325,0,Low,False
1072250,2193,2025-11-02,Shopping,1545.14,0,23594,Barbara Joshi,Delhi,Delhi,Self Employed,2690136,871,2025,11,2,6,0,0.000574372234573927,7.343516781321652,1804.0668243243244,1662.9007122245928,267001.89,148,2690136,0,0.0,11,5,0,5,0.00011077404,0,Low,False
424411,52303,2018-10-06,Healthcare,1248.12,0,56851,Linda Miller,Jaipur,Rajasthan,Retired,2932623,687,2018,10,6,5,0,0.00042559837196994905,7.13019458237198,2430.002916666667,2166.489503061674,116640.14,48,2932623,0,0.0,7,8,7,2,0.00018912394,0,Low,False
593109,28709,2018-01-03,Rent,2657.63,0,48213,Deepak Miller,Bengaluru,Karnataka,Business Owner,1715245,485,2018,1,3,2,0,0.0015494162353388377,7.88556623150434,1914.7285714285713,1593.881749254731,308271.3,161,1715245,4,0.024691358024691357,9,1,2,0,0.2963833,0,Medium,False
1349183,61262,2020-02-16,Healthcare,8659.98,0,12998,Anjali Miller,Kochi,Kerala,Student,1660305,863,2020,2,16,6,0,0.005215893937623547,9.066583159126209,2109.6648192771086,1934.4193718286012,175102.18,83,1660305,0,0.0,7,9,3,6,8.014775e-05,0,Low,False
1213951,14253,2019-05-12,Travel,3184.17,0,163,Richard Joshi,Bengaluru,Karnataka,Freelancer,820958,322,2019,5,12,6,0,0.0038785980785885775,8.066260941778092,2116.218384615385,2412.2196684834294,275108.39,130,820958,1,0.007633587786259542,12,1,2,1,0.0012650315,0,Low,False
776237,78,2025-05-23,Dining,378.55,0,45075,Mary Chopra,Mumbai,Maharashtra,Salaried - Government,405276,732,2025,5,23,4,0,0.0009340525122323745,5.938986340462777,1630.1138947368422,1910.2032704168594,154860.82,95,405276,2,0.020833333333333332,1,12,5,3,0.0924437,0,Low,False
224939,32600,2021-02-08,Fuel,3540.31,0,31208,James Nair,Ahmedabad,Gujarat,Business Owner,3373376,741,2021,2,8,0,0,0.0010494854266214538,8.172251994170978,2099.0610416666664,2181.209708438961,201509.86,96,3373376,0,0.0,4,0,1,0,0.00016476431,0,Low,False
1101618,25160,2018-11-26,Travel,4751.88,0,20959,Michael Miller,Chennai,Tamil Nadu,Freelancer,483379,342,2018,11,26,0,0,0.009830526707766147,8.466506029083007,1825.6952403846153,1771.4840049351287,379744.61,208,483379,2,0.009569377990430622,12,4,8,1,0.009161971,0,Low,True
1759642,28534,2020-05-05,Rent,2892.99,0,54511,Sarah Rao,Ahmedabad,Gujarat,Business Owner,1295523,896,2020,5,5,1,0,0.0022330655395037063,7.970391451760442,2362.5285365853656,2234.7325380709,96863.67,41,1295523,1,0.023809523809523808,9,0,1,0,0.01669213,0,Low,False
